
                    LISTA DE CLIENTES                       PAG: 001
COD NOME                 EMAIL                STREAMING  VALOR      
004 ANA                  ANAGMAIL.COM         MAX           14,90   
010 SILVIO SANTOS        SILVIOGMAIL.COM      MAX           14,90   
014 GREGORIO DUVIVIER    GREGGMAIL.COM        MAX           14,90   
004 ANA                  ANAGMAIL.COM         MAX           14,90   
010 SILVIO SANTOS        SILVIOGMAIL.COM      MAX           14,90   
014 GREGORIO DUVIVIER    GREGGMAIL.COM        MAX           14,90   
004 ANA                  ANAGMAIL.COM         MAX           14,90   
010 SILVIO SANTOS        SILVIOGMAIL.COM      MAX           14,90   
014 GREGORIO DUVIVIER    GREGGMAIL.COM        MAX           14,90   
004 ANA                  ANAGMAIL.COM         MAX           14,90   
010 SILVIO SANTOS        SILVIOGMAIL.COM      MAX           14,90   
014 GREGORIO DUVIVIER    GREGGMAIL.COM        MAX           14,90   
004 ANA                  ANAGMAIL.COM         MAX           14,90                                                                       
                    LISTA DE CLIENTES                       PAG: 002
COD NOME                 EMAIL                STREAMING  VALOR      
010 SILVIO SANTOS        SILVIOGMAIL.COM      MAX           14,90   
014 GREGORIO DUVIVIER    GREGGMAIL.COM        MAX           14,90   
004 ANA                  ANAGMAIL.COM         MAX           14,90   
010 SILVIO SANTOS        SILVIOGMAIL.COM      MAX           14,90   
014 GREGORIO DUVIVIER    GREGGMAIL.COM        MAX           14,90   
VALOR TOTAL DO STREAMING: MAX                           268,20                                                                          
                    LISTA DE CLIENTES                       PAG: 003
COD NOME                 EMAIL                STREAMING  VALOR      
001 IVAN                 IVAN@GMAIL.COM       NETFLIX       49,90   
003 SILVIA               SILVIA@GMAIL.COM     NETFLIX       49,90   
005 PAULA                PAULA@UOL.COM.BR     NETFLIX       49,90   
007 GIOVANNA             GICA@UOL.COM.BR      NETFLIX       49,90   
008 ANDRE                ANDREGMAIL.COM       NETFLIX       49,90   
011 CARLOS GREGORIO      CARLOS@UOL.COM.BR    NETFLIX       49,90   
013 RAFAELA SOUZA        RAFA@UOL.COM.BR      NETFLIX       49,90   
015 FABIO PORCHAT        FABIO@UOL.COM.BR     NETFLIX       49,90   
001 IVAN                 IVAN@GMAIL.COM       NETFLIX       49,90   
003 SILVIA               SILVIA@GMAIL.COM     NETFLIX       49,90   
005 PAULA                PAULA@UOL.COM.BR     NETFLIX       49,90   
007 GIOVANNA             GICA@UOL.COM.BR      NETFLIX       49,90   
008 ANDRE                ANDREGMAIL.COM       NETFLIX       49,90                                                                       
                    LISTA DE CLIENTES                       PAG: 004
COD NOME                 EMAIL                STREAMING  VALOR      
011 CARLOS GREGORIO      CARLOS@UOL.COM.BR    NETFLIX       49,90   
013 RAFAELA SOUZA        RAFA@UOL.COM.BR      NETFLIX       49,90   
015 FABIO PORCHAT        FABIO@UOL.COM.BR     NETFLIX       49,90   
001 IVAN                 IVAN@GMAIL.COM       NETFLIX       49,90   
003 SILVIA               SILVIA@GMAIL.COM     NETFLIX       49,90   
005 PAULA                PAULA@UOL.COM.BR     NETFLIX       49,90   
007 GIOVANNA             GICA@UOL.COM.BR      NETFLIX       49,90   
008 ANDRE                ANDREGMAIL.COM       NETFLIX       49,90   
011 CARLOS GREGORIO      CARLOS@UOL.COM.BR    NETFLIX       49,90   
013 RAFAELA SOUZA        RAFA@UOL.COM.BR      NETFLIX       49,90   
015 FABIO PORCHAT        FABIO@UOL.COM.BR     NETFLIX       49,90   
001 IVAN                 IVAN@GMAIL.COM       NETFLIX       49,90   
003 SILVIA               SILVIA@GMAIL.COM     NETFLIX       49,90                                                                       
                    LISTA DE CLIENTES                       PAG: 005
COD NOME                 EMAIL                STREAMING  VALOR      
005 PAULA                PAULA@UOL.COM.BR     NETFLIX       49,90   
007 GIOVANNA             GICA@UOL.COM.BR      NETFLIX       49,90   
008 ANDRE                ANDREGMAIL.COM       NETFLIX       49,90   
011 CARLOS GREGORIO      CARLOS@UOL.COM.BR    NETFLIX       49,90   
013 RAFAELA SOUZA        RAFA@UOL.COM.BR      NETFLIX       49,90   
015 FABIO PORCHAT        FABIO@UOL.COM.BR     NETFLIX       49,90   
001 IVAN                 IVAN@GMAIL.COM       NETFLIX       49,90   
003 SILVIA               SILVIA@GMAIL.COM     NETFLIX       49,90   
005 PAULA                PAULA@UOL.COM.BR     NETFLIX       49,90   
007 GIOVANNA             GICA@UOL.COM.BR      NETFLIX       49,90   
008 ANDRE                ANDREGMAIL.COM       NETFLIX       49,90   
011 CARLOS GREGORIO      CARLOS@UOL.COM.BR    NETFLIX       49,90   
013 RAFAELA SOUZA        RAFA@UOL.COM.BR      NETFLIX       49,90                                                                       
                    LISTA DE CLIENTES                       PAG: 006
COD NOME                 EMAIL                STREAMING  VALOR      
015 FABIO PORCHAT        FABIO@UOL.COM.BR     NETFLIX       49,90   
001 IVAN                 IVAN@GMAIL.COM       NETFLIX       49,90   
003 SILVIA               SILVIA@GMAIL.COM     NETFLIX       49,90   
005 PAULA                PAULA@UOL.COM.BR     NETFLIX       49,90   
007 GIOVANNA             GICA@UOL.COM.BR      NETFLIX       49,90   
008 ANDRE                ANDREGMAIL.COM       NETFLIX       49,90   
011 CARLOS GREGORIO      CARLOS@UOL.COM.BR    NETFLIX       49,90   
013 RAFAELA SOUZA        RAFA@UOL.COM.BR      NETFLIX       49,90   
015 FABIO PORCHAT        FABIO@UOL.COM.BR     NETFLIX       49,90   
VALOR TOTAL DO STREAMING: NETFLIX                     2.395,20                                                                          
                    LISTA DE CLIENTES                       PAG: 007
COD NOME                 EMAIL                STREAMING  VALOR      
002 RAFAL                RAFAEL@OUTLOOK.COM   PRIME         19,90   
006 DENISE               DENISEGMAIL.COM      PRIME         19,90   
009 JOSE CARLOS          ZECA@UOL.COM.BR      PRIME         19,90   
012 TALES SILVA          TALESGMAIL.COM       PRIME         19,90   
